name,nationality,nat_position,nat_kit,club,club_position,club_kit,club_join,contract_expiration,rate,height,weight,pref_foot,birth,age,pref_position
Miralem Pjanic,Bosnia Herzegovina,NULL,NULL,Juventus,RDM,5,07/01/16,2021,85,180 cm,72 kg,Right,04/02/90,26,CM/CDM
Juan Mata,Spain,NULL,NULL,Manchester Utd,Sub,8,01/25/14,2018,85,170 cm,63 kg,Left,04/28/88,28,CAM/CM
Javi Martinez,Spain,Sub,4,FC Bayern,RCB,8,08/29/12,2021,85,190 cm,81 kg,Right,09/02/88,28,CB/CDM
Dimitri Payet,France,LM,8,Olym. Marseille,LW,11,01/29/17,2021,85,175 cm,77 kg,Right,03/29/87,30,LM/LW
Dries Mertens,Belgium,RF,14,Napoli,ST,14,07/01/13,2018,85,169 cm,61 kg,Right,05/06/87,29,LW/ST
Sokratis,Greece,RCB,19,Bor. Dortmund,CB,25,07/01/13,2019,85,186 cm,85 kg,Right,06/09/88,28,CB
Marek Ham*ik,Slovakia,NULL,NULL,Napoli,LCM,17,07/01/07,2020,85,183 cm,79 kg,Right,07/27/87,29,CM
Blaise Matuidi,France,LDM,14,PSG,LCM,14,07/01/11,2018,85,175 cm,70 kg,Left,04/09/87,29,CDM/CM
St*phane Ruffier,France,NULL,NULL,AS Saint-*tienne,GK,16,07/11/11,2021,85,188 cm,93 kg,Right,09/27/86,30,GK
Laurent Koscielny,France,RCB,21,Arsenal,LCB,6,07/07/10,2020,85,186 cm,75 kg,Right,09/10/85,31,CB
Filipe Lu*s,Brazil,Sub,6,Atl*tico Madrid,LB,3,07/29/15,2019,85,182 cm,77 kg,Left,08/09/85,31,LB
Vincent Kompany,Belgium,CB,3,Manchester City,Sub,4,08/22/08,2019,85,193 cm,85 kg,Right,04/10/86,30,CB
Aymeric Laporte,France,NULL,NULL,Athletic Bilbao,LCB,4,10/01/12,2020,84,189 cm,85 kg,Left,05/27/94,22,CB
Yannick Carrasco,Belgium,LM,18,Atl*tico Madrid,LM,10,07/10/15,2022,84,180 cm,66 kg,Right,09/04/93,23,LM/LW
Carvajal,Spain,RB,12,Real Madrid,RB,2,07/05/13,2020,84,173 cm,73 kg,Right,01/11/92,25,RB
Riyad Mahrez,Algeria,NULL,NULL,Leicester City,RM,26,01/11/14,2020,84,179 cm,62 kg,Left,02/21/91,26,RM/CAM
Rapha*l Varane,France,NULL,NULL,Real Madrid,Sub,5,07/01/11,2020,84,191 cm,78 kg,Right,04/25/93,23,CB
Mauro Icardi,Argentina,NULL,NULL,Inter,ST,9,07/09/13,2021,84,181 cm,75 kg,Right,02/19/93,24,ST
Lorenzo Insigne,Italy,Sub,20,Napoli,LW,24,07/01/10,2019,84,163 cm,59 kg,Right,06/04/91,25,LW
Isco,Spain,Sub,22,Real Madrid,Sub,22,07/03/13,2018,84,176 cm,74 kg,Right,04/21/92,24,CM/RM
Koke,Spain,RCM,8,Atl*tico Madrid,RM,6,01/01/11,2019,84,178 cm,74 kg,Right,01/08/92,25,CM/RM
Kostas Manolas,Greece,LCB,4,Roma,RCB,44,08/26/14,2019,84,189 cm,83 kg,Right,06/14/91,25,CB
Danijel Suba*ic,Croatia,NULL,NULL,AS Monaco,GK,1,01/24/12,2019,84,191 cm,84 kg,Right,10/27/84,32,GK
Nicol*s Otamendi,Argentina,RCB,17,Manchester City,LCB,30,08/20/15,2020,84,183 cm,81 kg,Right,02/12/88,29,CB
Shkodran Mustafi,Germany,Sub,2,Arsenal,RCB,20,08/30/16,2021,84,184 cm,82 kg,Right,04/17/92,24,CB
Nemanja Matic,Serbia,NULL,NULL,Chelsea,LCM,21,01/15/14,2019,84,194 cm,84 kg,Left,08/01/88,28,CDM/CM
Alex Sandro,Brazil,NULL,NULL,Juventus,LB,12,08/21/15,2020,84,181 cm,76 kg,Left,01/26/91,26,LB/LM
